timestamp,latency,queue_id
1762600354.698967,10188906,0
1762600354.699235,6138136,1
1762600354.699236,7322962,2
1762600354.699436,6041513,3
1762600354.699437,5804740,5
1762600354.699705,5181901,7
1762600354.699706,10188281,0
1762600354.699973,5392681,1
1762600354.699974,6559444,2
1762600354.700175,5057815,5
1762600354.700176,4586352,7
1762600354.700444,9437388,0
1762600354.700444,9438299,0
1762600354.700712,6130071,1
1762600354.700713,7296841,2
1762600354.700914,7517530,3
1762600354.700914,5795527,5
1762600354.701182,5592018,7
1762600354.701183,9525219,0
1762600354.701451,5131794,1
1762600354.701452,6584558,2
1762600354.701652,7490979,3
1762600354.701654,5132925,5
1762600354.701920,5111864,7
1762600354.701922,4121359,1
1762600354.702189,7321635,2
1762600354.702190,8027239,3
1762600354.702390,5870002,5
1762600354.702392,5580986,7
1762600354.702659,11000920,0
1762600354.702660,4858753,1
1762600354.702928,6573992,2
1762600354.702929,7457104,3
1762600354.703129,5132005,5
1762600354.703130,4827021,7
1762600354.703398,9564534,0
1762600354.703399,4119215,1
1762600354.703666,7311377,2
1762600354.703668,8194495,3
1762600354.703868,5869398,5
1762600354.703869,5564415,7
1762600354.704137,10301929,0
1762600354.704138,7954267,3
1762600354.704406,4924916,5
1762600354.704406,4650332,7
1762600354.704607,9173530,0
1762600354.704608,5326634,1
1762600354.704876,7050537,2
1762600354.704877,8233949,3
1762600354.705144,4280356,1
1762600354.705145,7318212,2
1762600354.705346,7964677,3
1762600354.705346,5864067,5
1762600354.705614,5857438,7
1762600354.705615,10179825,0
1762600354.705882,5017745,1
1762600354.705884,6559044,2
1762600354.706084,8078706,3
1762600354.706085,5081308,5
1762600354.706352,5116063,7
1762600354.706354,10442067,0
1762600354.706621,4616952,1
1762600354.706622,7296438,2
1762600354.706823,8816099,3
1762600354.706824,5818700,5
1762600354.707091,5853459,7
1762600354.707092,9563949,0
1762600354.707360,5354343,1
1762600354.707361,6448627,2
1762600354.707562,8818854,3
1762600354.707563,5106972,5
1762600354.707830,5262368,7
1762600354.707831,10301343,0
1762600354.708099,5363845,1
1762600354.708100,7186024,2
1762600354.708300,7212572,3
1762600354.708301,5844368,5
1762600354.708569,5999763,7
1762600354.708570,10243910,0
1762600354.708837,6101234,1
1762600354.708838,6595441,2
1762600354.709038,5132956,5
1762600354.709040,4978650,7
1762600354.709308,9450146,0
1762600354.709308,9451067,0
1762600354.709576,4915103,1
1762600354.709577,7332838,2
1762600354.709777,8688591,3
1762600354.709778,5870656,5
1762600354.710046,5984312,7
1762600354.710047,9547769,0
1762600354.710314,5652500,1
1762600354.710316,6591509,2
1762600354.710516,8200316,3
1762600354.710517,5132887,5
1762600354.710785,5099822,7
1762600354.710786,4843819,1
1762600354.711053,5848166,2
1762600354.711055,8736585,3
1762600354.711254,5869968,5
1762600354.711256,5568938,7
1762600354.711523,8816123,0
1762600354.711524,5581209,1
1762600354.711792,6585562,2
1762600354.711793,7953777,3
1762600354.711993,5125660,5
1762600354.711994,4841370,7
1762600354.712262,9553516,0
1762600354.712263,4838083,1
1762600354.712530,5846336,2
1762600354.712532,8691172,3
1762600354.712732,5863057,5
1762600354.712733,5578766,7
